Mã Hóa Đơn,Mã Học Viên,Họ Tên Học Viên,Mã Lớp,Tên Lớp Học,Học Phí Phải Trả (VNĐ),Đã Thanh Toán (VNĐ),Còn Nợ (VNĐ),Tỷ Lệ Đã Thanh Toán (%),Trạng Thái Hóa Đơn,Ngày Lập
HD-452377-412,HV055,"Lê Hồng Phong",IELTS-B1-02,"IELTS B1 Cuối Tuần (Thứ 7 - CN)",3500000,0,3500000,0,"Chưa Thanh Toán",
HD-IELTS-B1-02-003,HV020,"Lê Hồng Hào",IELTS-B1-02,"IELTS B1 Cuối Tuần (Thứ 7 - CN)",3500000,0,3500000,0,"Chưa Thanh Toán",
HD-IELTS-B1-02-002,HV010,"Lê Trung Cháo",IELTS-B1-02,"IELTS B1 Cuối Tuần (Thứ 7 - CN)",3500000,0,3500000,0,"Chưa Thanh Toán",
HD-IELTS-B1-02-001,HV004,"Lê Hồng Phong",IELTS-B1-02,"IELTS B1 Cuối Tuần (Thứ 7 - CN)",3500000,0,3500000,0,"Chưa Thanh Toán",
HD-IELTS-B2-004,HV054,"Lê Diễm Quỳnh",IELTS-B2-01,"IELTS Master 6.5+ Chuyên Sâu Tối T2-4-6",4800000,4800000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B2-003,HV053,"Trần Anh Khoa",IELTS-B2-01,"IELTS Master 6.5+ Chuyên Sâu Tối T2-4-6",4800000,4800000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B2-002,HV052,"Nguyễn Thùy Trang",IELTS-B2-01,"IELTS Master 6.5+ Chuyên Sâu Tối T2-4-6",4800000,4800000,0,100,"Đã Thanh Toán Đủ",
HD-IELTS-B2-001,HV051,"Lưu Thế Hùng",IELTS-B2-01,"IELTS Master 6.5+ Chuyên Sâu Tối T2-4-6",4800000,4800000,0,100,"Đã Thanh Toán Đủ",
HD-ENG-A1-005,HV050,"Nghiêm Bảo Trâm",ENG-A1-01,"Tiếng Anh Căn Bản Cho Người Mới Bắt Đầu",2200000,2200000,0,100,"Đã Thanh Toán Đủ",
HD-ENG-A1-004,HV049,"Quách Ánh Tuyết",ENG-A1-01,"Tiếng Anh Căn Bản Cho Người Mới Bắt Đầu",2200000,2200000,0,100,"Đã Thanh Toán Đủ",
HD-ENG-A1-003,HV048,"Tạ Thanh Tùng",ENG-A1-01,"Tiếng Anh Căn Bản Cho Người Mới Bắt Đầu",2200000,2200000,0,100,"Đã Thanh Toán Đủ",
HD-ENG-A1-002,HV047,"Đoàn Hữu Phước",ENG-A1-01,"Tiếng Anh Căn Bản Cho Người Mới Bắt Đầu",2200000,2200000,0,100,"Đã Thanh Toán Đủ",
HD-ENG-A1-001,HV046,"Võ Thu Hằng",ENG-A1-01,"Tiếng Anh Căn Bản Cho Người Mới Bắt Đầu",2200000,2200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-008,HV045,"Lâm Tấn Phát",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-007,HV044,"Phan Yến Nhi",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-006,HV043,"Trịnh Minh Khang",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-005,HV042,"Mai Phương Thảo",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-004,HV041,"Lý Gia Huy",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-003,HV040,"Dương Văn Thành",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
HD-COMM-B1-002,HV039,"Ngô Thảo Vy",COMM-B1-01,"Giao Tiếp Doanh Nghiệp Tối T2-4-6",3200000,3200000,0,100,"Đã Thanh Toán Đủ",
